Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,314.0,105968.59988481727,102010.0,3958.599884817275
181000.0,314.0,106072.54543781174,102260.0,3812.545437811743
182000.0,314.0,106178.55479223646,102500.0,3678.554792236464
183000.0,314.1,106366.15794781913,102740.0,3626.157947819127
184000.0,314.1,106476.01566514037,102990.0,3486.0156651403668
185000.0,314.1,106588.05892361036,103240.0,3348.058923610355
186000.0,314.1,106702.33107923418,103490.0,3212.33107923418
187000.0,314.2,106896.83123954943,103740.0,3156.8312395494286
188000.0,314.2,107015.27292841199,103990.0,3025.272928411985
189000.0,314.2,107136.07331317668,104250.0,2886.0733131766756
190000.0,314.2,107259.27856963615,104500.0,2759.2785696361534
191000.0,314.2,107384.93561235604,104760.0,2624.935612356043
192000.0,314.3,107589.00526043185,105020.0,2569.005260431848
193000.0,314.3,107719.26545016572,105290.0,2429.2654501657235
194000.0,314.3,107852.1178147072,105560.0,2292.117814707206
195000.0,314.3,107987.6122359128,105840.0,2147.6122359128058
196000.0,314.4,108200.01815673326,106110.0,2090.018156733262
197000.0,314.4,108340.48583881767,106390.0,1950.4858388176654
198000.0,314.4,108483.74478512182,106680.0,1803.7447851218167
199000.0,314.4,108629.84796453733,106960.0,1669.84796453733
200000.0,314.5,108851.29583076068,107250.0,1601.295830760675
201000.0,314.5,109002.76548170952,107540.0,1462.7654817095172
202000.0,314.5,109157.23773834028,107830.0,1327.2377383402782
203000.0,314.5,109314.7687783704,108120.0,1194.7687783704023
204000.0,314.6,109546.00813019967,108410.0,1136.0081301996688
205000.0,314.6,109709.32282535493,108710.0,999.3228253549314
206000.0,314.6,109875.86419322969,109000.0,875.8641932296887
207000.0,314.6,110045.6917443666,109300.0,745.6917443666025
208000.0,314.6,110218.86586223713,109600.0,618.8658622371295
209000.0,314.7,110463.57081256824,109890.0,573.5708125682431
210000.0,314.7,110643.08801144605,110180.0,463.08801144604513
211000.0,314.7,110826.13212650856,110470.0,356.1321265085571
212000.0,314.7,111012.76703313476,110770.0,242.76703313476173
213000.0,314.7,111203.05752140749,111070.0,133.05752140749246
214000.0,314.7,111397.06930471507,111370.0,27.069304715070757
215000.0,314.7,111594.86902854877,111670.0,75.13097145123174
216000.0,314.7,111796.52427924104,111980.0,183.47572075895732
217000.0,314.7,112002.10359278978,112290.0,287.8964072102244
218000.0,314.8,112274.8812024352,112610.0,335.1187975648063
219000.0,314.8,112487.92560165998,112920.0,432.07439834001707
220000.0,314.8,112705.09852706974,113240.0,534.901472930258
221000.0,314.8,112926.47230549967,113560.0,633.5276945003279
222000.0,314.8,113152.12025682192,113880.0,727.879743178084
223000.0,314.8,113382.11670297894,114200.0,817.8832970210642
224000.0,314.8,113616.53697707331,114510.0,893.4630229266913
225000.0,314.8,113855.45743246295,114830.0,974.5425675370498
226000.0,314.8,114098.95545201289,115140.0,1041.0445479871123
227000.0,314.8,114347.10945724265,115460.0,1112.8905427573482
228000.0,314.8,114599.99891758985,115780.0,1180.0010824101482
229000.0,314.8,114857.70435969945,116100.0,1242.295640300552
230000.0,314.8,115120.3073767995,116430.0,1309.6926232005062
