Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,290.3,89825.5845199754,94370.0,4544.415480024603
181000.0,290.3,90032.28004454999,94640.0,4607.719955450011
182000.0,290.3,90242.1232815275,94920.0,4677.8767184725
183000.0,290.3,90455.16985713213,95200.0,4744.830142867868
184000.0,290.3,90671.47632209146,95490.0,4818.523677908539
185000.0,290.3,90891.10016179449,95770.0,4878.899838205514
186000.0,290.3,91114.0998065865,96040.0,4925.900193413501
187000.0,290.3,91340.53464204785,96320.0,4979.465357952155
188000.0,290.3,91570.46501931889,96590.0,5019.534980681114
189000.0,290.2,91752.82295124358,96870.0,5117.177048756421
190000.0,290.2,91990.4511954349,97160.0,5169.5488045651
191000.0,290.2,92231.76744605214,97460.0,5228.2325539478625
192000.0,290.2,92476.83609425984,97750.0,5273.163905740163
193000.0,290.2,92725.72255058159,98050.0,5324.277449418412
194000.0,290.1,92930.13832110979,98350.0,5419.8616788902145
195000.0,290.1,93187.41123207174,98650.0,5462.5887679282605
196000.0,290.1,93448.71029749252,98950.0,5501.289702507478
197000.0,290.1,93714.10519176842,99260.0,5545.8948082315765
198000.0,290.1,93983.66666393873,99560.0,5576.333336061274
199000.0,290.0,94212.03488872346,99870.0,5657.965111276542
200000.0,290.0,94490.72721016496,100170.0,5679.272789835042
201000.0,290.0,94773.81121414923,100480.0,5706.188785850769
202000.0,290.0,95061.36214384972,100790.0,5728.637856150279
203000.0,290.0,95353.45637387788,101100.0,5746.543626122118
204000.0,289.9,95607.82203948981,101400.0,5792.177960510191
205000.0,289.9,95909.85039475348,101690.0,5780.149605246523
206000.0,289.8,96175.66346483595,101980.0,5804.336535164053
207000.0,289.8,96487.97280974004,102270.0,5782.027190259963
208000.0,289.8,96805.23854531426,102560.0,5754.761454685737
209000.0,289.7,97088.5617587159,102870.0,5781.438241284093
210000.0,289.7,97416.64144313663,103180.0,5763.358556863372
211000.0,289.6,97712.37763755523,103490.0,5777.622362444774
212000.0,289.6,98051.64482496324,103810.0,5758.355175036762
213000.0,289.6,98396.31344182552,104120.0,5723.686558174479
214000.0,289.5,98711.04297566629,104440.0,5728.9570243337075
215000.0,289.5,99067.47266130472,104760.0,5692.527338695276
216000.0,289.4,99395.65363775412,105110.0,5714.34636224588
217000.0,289.4,99764.24605992407,105470.0,5705.753940075927
218000.0,289.3,100106.31850628869,105830.0,5723.681493711309
219000.0,289.3,100487.48707226716,106200.0,5712.512927732838
220000.0,289.3,100874.73863211222,106560.0,5685.261367887782
221000.0,289.2,101238.07382840665,106930.0,5691.9261715933535
222000.0,289.2,101638.53567781845,107300.0,5661.4643221815495
223000.0,289.1,102016.90966358509,107640.0,5623.090336414913
224000.0,289.0,102403.42515342968,108030.0,5626.574846570322
225000.0,289.0,102824.92363412394,108500.0,5675.076365876055
226000.0,288.9,103227.22051108448,108970.0,5742.779488915519
227000.0,288.8,103638.05207676101,109430.0,5791.947923238986
228000.0,288.8,104081.65558383177,109890.0,5808.344416168227
229000.0,288.7,104509.0428695491,110340.0,5830.957130450901
230000.0,288.6,104945.37466762602,110790.0,5844.62533237398
