Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,314.5,106373.03199926388,101480.0,4893.031999263883
181000.0,314.5,106475.02454919492,101730.0,4745.024549194917
182000.0,314.5,106579.06018090305,101970.0,4609.060180903049
183000.0,314.6,106765.20228029783,102220.0,4545.202280297832
184000.0,314.6,106873.04580485333,102470.0,4403.045804853333
185000.0,314.6,106983.05333267446,102720.0,4263.053332674463
186000.0,314.6,107095.26793122136,102970.0,4125.267931221359
187000.0,314.7,107288.22939070665,103220.0,4068.2293907066487
188000.0,314.7,107404.5708667923,103480.0,3924.5708667923027
189000.0,314.7,107523.2483399001,103740.0,3783.2483399001067
190000.0,314.7,107644.307678407,104000.0,3644.307678407
191000.0,314.7,107767.79548450618,104260.0,3507.795484506176
192000.0,314.8,107970.22285586191,104520.0,3450.22285586191
193000.0,314.8,108098.26820743058,104790.0,3308.2682074305776
194000.0,314.8,108228.88147143382,105070.0,3158.8814714338223
195000.0,314.8,108362.11219756368,105340.0,3022.112197563678
196000.0,314.8,108498.01070765482,105620.0,2878.0107076548156
197000.0,314.9,108710.9440547353,105900.0,2810.9440547353006
198000.0,314.9,108851.86558910344,106180.0,2671.865589103443
199000.0,314.9,108995.60540602289,106460.0,2535.6054060228926
200000.0,314.9,109142.21692476669,106750.0,2392.2169247666898
201000.0,315.0,109364.2862745918,107040.0,2324.2862745917955
202000.0,315.0,109516.31735960014,107330.0,2186.3173596001434
203000.0,315.0,109671.37983815413,107620.0,2051.3798381541274
204000.0,315.0,109829.53034854408,107910.0,1919.5303485440818
205000.0,315.0,109990.82637228447,108200.0,1790.8263722844713
206000.0,315.1,110225.48208765734,108500.0,1725.4820876573358
207000.0,315.1,110392.73001165847,108790.0,1602.7300116584665
208000.0,315.1,110563.29518424597,109090.0,1473.2951842459734
209000.0,315.1,110737.2384619971,109380.0,1357.238461997098
210000.0,315.1,110914.6215856265,109670.0,1244.6215856265044
211000.0,315.1,111095.50718842448,109960.0,1135.5071884244826
212000.0,315.1,111279.95880488255,110250.0,1029.9588048825535
213000.0,315.1,111468.04087925483,110550.0,918.040879254826
214000.0,315.2,111725.80627300702,110840.0,885.8062730070233
215000.0,315.2,111920.78264383863,111140.0,780.7826438386255
216000.0,315.2,112119.58181904833,111450.0,669.581819048326
217000.0,315.2,112322.27187763015,111760.0,562.2718776301481
218000.0,315.2,112528.9218507117,112070.0,458.9218507117039
219000.0,315.2,112739.60173038732,112380.0,359.6017303873232
220000.0,315.2,112954.38247862259,112690.0,264.3824786225887
221000.0,315.2,113173.33603609524,113010.0,163.3360360952356
222000.0,315.2,113396.53533123815,113320.0,76.5353312381485
223000.0,315.2,113624.05428919834,113640.0,15.945710801664973
224000.0,315.2,113855.96784087253,113950.0,94.03215912746964
225000.0,315.2,114092.35193201953,114260.0,167.6480679804663
226000.0,315.2,114333.28353233366,114580.0,246.71646766633785
227000.0,315.2,114578.84064464517,114890.0,311.15935535483004
228000.0,315.2,114829.10231414718,115210.0,380.89768585281854
229000.0,315.2,115084.14863754816,115530.0,445.8513624518382
230000.0,315.2,115344.06077246764,115850.0,505.93922753236257
