Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,313.8,105807.5667734598,102260.0,3547.5667734597955
181000.0,313.8,105912.29596482264,102510.0,3402.295964822639
182000.0,313.8,106019.09727302032,102750.0,3269.097273020321
183000.0,313.8,106128.01213884074,103000.0,3128.0121388407424
184000.0,313.9,106317.9532561354,103250.0,3067.953256135399
185000.0,313.9,106430.81335515043,103500.0,2930.813355150429
186000.0,313.9,106545.91111100435,103750.0,2795.911111004345
187000.0,313.9,106663.29070621438,104000.0,2663.2907062143786
188000.0,314.0,106860.31376172685,104250.0,2610.313761726851
189000.0,314.0,106981.96597722123,104510.0,2471.9659772212326
190000.0,314.0,107106.03229775134,104770.0,2336.0322977513424
191000.0,314.0,107232.55976327449,105030.0,2202.5597632744903
192000.0,314.1,107437.28906923768,105290.0,2147.2890692376823
193000.0,314.1,107568.43798515684,105560.0,2008.4379851568374
194000.0,314.1,107702.1888134891,105830.0,1872.188813489105
195000.0,314.1,107838.59156943791,106110.0,1728.5915694379073
196000.0,314.1,107977.69704770039,106380.0,1597.6970477003924
197000.0,314.2,108193.08766699237,106660.0,1533.0876669923746
198000.0,314.2,108337.28453604088,106940.0,1397.2845360408828
199000.0,314.2,108484.33605353578,107220.0,1264.3360535357788
200000.0,314.2,108634.29614085388,107500.0,1134.2961408538831
201000.0,314.3,108858.95430086865,107790.0,1068.954300868645
202000.0,314.3,109014.4061266774,108080.0,934.4061266773933
203000.0,314.3,109172.92772906448,108360.0,812.9277290644823
204000.0,314.3,109334.57627881084,108650.0,684.5762788108404
205000.0,314.4,109569.265120077,108950.0,619.2651200770051
206000.0,314.4,109736.83002435388,109240.0,496.83002435388335
207000.0,314.4,109907.69271763907,109540.0,367.69271763907454
208000.0,314.4,110081.91374499472,109840.0,241.91374499471567
209000.0,314.5,110327.4423847472,110130.0,197.44238474720623
210000.0,314.5,110508.02954638898,110420.0,88.0295463889779
211000.0,314.5,110692.15587859237,110720.0,27.844121407630155
212000.0,314.5,110879.88542774378,111010.0,130.11457225622144
213000.0,314.5,111071.28315731218,111310.0,238.71684268781974
214000.0,314.5,111266.41495662408,111610.0,343.58504337591876
215000.0,314.5,111465.34764954452,111920.0,454.6523504554789
216000.0,314.5,111668.14900333808,112230.0,561.8509966619167
217000.0,314.6,111938.43484132623,112550.0,611.5651586737658
218000.0,314.6,112148.59390529082,112860.0,711.4060947091784
219000.0,314.6,112362.82383128954,113180.0,817.176168710459
220000.0,314.6,112581.19615318402,113500.0,918.8038468159793
221000.0,314.6,112803.78339148844,113820.0,1016.2166085115605
222000.0,314.6,113030.6590623939,114140.0,1109.3409376061027
223000.0,314.6,113261.89768683314,114460.0,1198.1023131668626
224000.0,314.6,113497.57479964646,114770.0,1272.4252003535366
225000.0,314.6,113737.7669586479,115090.0,1352.2330413520976
226000.0,314.6,113982.55175388756,115410.0,1427.4482461124426
227000.0,314.6,114232.00781687936,115730.0,1497.9921831206448
228000.0,314.6,114486.21482982463,116050.0,1563.785170175368
229000.0,314.7,114801.41466604515,116370.0,1568.5853339548485
230000.0,314.7,115064.691966574,116700.0,1635.3080334260012
