Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,271.3,81119.04709532992,90080.0,8960.952904670077
181000.0,271.2,81385.44143093587,90370.0,8984.558569064131
182000.0,271.2,81692.05779852513,90650.0,8957.94220147487
183000.0,271.1,81968.34346209573,90940.0,8971.656537904273
184000.0,271.1,82283.84543357107,91220.0,8936.15456642893
185000.0,271.0,82570.33048123325,91500.0,8929.66951876675
186000.0,271.0,82895.01228724256,91770.0,8874.987712757444
187000.0,270.9,83192.01455924954,92050.0,8857.98544075046
188000.0,270.8,83494.72382968407,92360.0,8865.276170315934
189000.0,270.8,83834.0274007574,92680.0,8845.972599242596
190000.0,270.7,84147.75429556747,92990.0,8842.245704432527
191000.0,270.7,84497.02078189758,93280.0,8782.979218102424
192000.0,270.6,84822.10861610455,93570.0,8747.891383895447
193000.0,270.5,85153.34713538297,93870.0,8716.652864617034
194000.0,270.4,85490.83103090384,94200.0,8709.168969096165
195000.0,270.3,85834.65637405922,94610.0,8775.343625940775
196000.0,270.3,86211.18216569719,95090.0,8878.817834302812
197000.0,270.2,86567.28836929322,95560.0,8992.711630706777
198000.0,270.1,86930.02777498793,96020.0,9089.972225012069
199000.0,270.0,87299.50210278059,96480.0,9180.497897219408
200000.0,269.9,87675.81451921989,96920.0,9244.185480780114
201000.0,269.8,88059.06965047921,97360.0,9300.930349520786
202000.0,269.6,88427.3601749383,97750.0,9322.639825061706
203000.0,268.5,88617.88586338573,96950.0,8332.11413661427
204000.0,267.4,88839.56526020137,96440.0,7600.434739798628
205000.0,266.2,89075.32711400584,96180.0,7104.672885994165
206000.0,265.1,89360.55970885168,96250.0,6889.440291148319
207000.0,264.0,89676.43117279011,96260.0,6583.568827209892
208000.0,262.9,90022.6298390623,96400.0,6377.370160937702
209000.0,261.7,90387.96861566932,96810.0,6422.031384330679
210000.0,260.6,90794.9263902408,97190.0,6395.073609759202
211000.0,259.5,91230.64604780606,97620.0,6389.353952193938
212000.0,258.3,91687.66037496575,98220.0,6532.3396250342485
213000.0,257.2,92179.74480178417,98790.0,6610.255198215833
213500.0,256.7,92438.13044439025,99070.0,6631.869555609752
