Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,271.2,81082.90006694208,90140.0,9057.099933057922
181000.0,271.2,81385.44143093587,90430.0,9044.558569064131
182000.0,271.1,81657.05548172473,90710.0,9052.944518275268
183000.0,271.0,81933.96969534454,91000.0,9066.030304655462
184000.0,271.0,82250.00631334605,91280.0,9029.99368665395
185000.0,270.9,82537.12926661376,91550.0,9012.87073338624
186000.0,270.9,82862.35510799178,91830.0,8967.644892008218
187000.0,270.8,83160.00474886307,92100.0,8939.995251136934
188000.0,270.8,83494.72382968407,92420.0,8925.276170315934
189000.0,270.7,83803.22810836678,92730.0,8926.771891633223
190000.0,270.6,84117.6167183982,93030.0,8912.383281601797
191000.0,270.6,84467.45138518869,93320.0,8852.548614811312
192000.0,270.5,84793.21064911377,93650.0,8856.789350886233
193000.0,270.4,85125.12542003409,93990.0,8864.874579965908
194000.0,270.4,85490.83103090384,94310.0,8819.168969096165
195000.0,270.3,85834.65637405922,94730.0,8895.343625940775
196000.0,270.2,86184.92062957163,95210.0,9025.079370428371
197000.0,270.1,86541.72266835811,95670.0,9128.27733164189
198000.0,270.0,86905.16278075075,96130.0,9224.837219249253
199000.0,269.9,87275.34268929367,96590.0,9314.65731070633
200000.0,269.8,87652.36556189643,97030.0,9377.634438103574
201000.0,269.8,88059.06965047921,97470.0,9410.930349520786
202000.0,269.7,88449.37359528804,97960.0,9510.626404711962
203000.0,268.8,88679.19119634651,97360.0,8680.80880365349
204000.0,267.7,88895.91212633366,96960.0,8064.0878736663435
205000.0,266.7,89161.10460101363,96530.0,7368.895398986366
206000.0,265.7,89454.17465693151,96660.0,7205.825343068485
207000.0,264.7,89775.00712254985,96750.0,6974.992877450146
208000.0,263.6,90110.55177497402,96790.0,6679.448225025975
209000.0,262.6,90487.74848034378,97130.0,6642.251519656216
210000.0,261.6,90891.95867337,97550.0,6658.041326630002
211000.0,260.6,91322.80018783908,97940.0,6617.199812160921
212000.0,259.5,91772.35649981117,98430.0,6657.643500188831
213000.0,258.5,92256.16465365968,99030.0,6773.835346340318
