Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,283.6,86331.77629442686,93210.0,6878.223705573138
181000.0,283.6,86571.02134423709,93500.0,6928.978655762912
182000.0,283.6,86813.74503077354,93790.0,6976.254969226458
183000.0,283.6,87060.0071633649,94080.0,7019.992836635094
184000.0,283.5,87263.27001430385,94370.0,7106.729985696147
185000.0,283.5,87517.30874423673,94660.0,7142.691255763275
186000.0,283.5,87775.07655766289,94960.0,7184.923442337109
187000.0,283.5,88036.63737124843,95260.0,7223.362628751565
188000.0,283.5,88302.0561409363,95550.0,7247.9438590637
189000.0,283.4,88527.540451245,95850.0,7322.459548754996
190000.0,283.4,88801.4174536296,96150.0,7348.582546370395
191000.0,283.4,89079.35916559333,96450.0,7370.640834406673
192000.0,283.4,89361.43488342442,96760.0,7398.565116575584
193000.0,283.4,89647.71500041417,97060.0,7412.284999585827
194000.0,283.3,89897.29220838514,97370.0,7472.7077916148555
195000.0,283.3,90192.76866665749,97650.0,7457.231333342512
196000.0,283.3,90492.67330248986,97940.0,7447.326697510143
197000.0,283.2,90757.9438982249,98240.0,7482.056101775102
198000.0,283.2,91067.52108149676,98540.0,7472.478918503242
199000.0,283.1,91343.91871341474,98850.0,7506.081286585264
200000.0,283.1,91663.50259493367,99150.0,7486.4974050663295
201000.0,283.1,91987.91378668825,99460.0,7472.086213311748
202000.0,283.0,92281.3274619462,99770.0,7488.672538053797
203000.0,283.0,92616.25970022677,100080.0,7463.740299773228
204000.0,282.9,92921.72715352545,100400.0,7478.272846474545
205000.0,282.9,93267.54097487613,100710.0,7442.45902512387
206000.0,282.9,93618.61302790194,101060.0,7441.386972098058
207000.0,282.8,93942.52243261367,101410.0,7467.477567386333
208000.0,282.8,94305.03065420553,101770.0,7464.969345794467
209000.0,282.7,94641.99194470723,102130.0,7488.008055292768
210000.0,282.7,95016.32469302427,102490.0,7473.675306975725
211000.0,282.7,95396.3800940641,102850.0,7453.619905935906
212000.0,282.6,95753.31816901214,103210.0,7456.681830987858
213000.0,282.5,96117.66482265214,103550.0,7432.335177347864
214000.0,282.5,96516.85838900889,103990.0,7473.141610991108
215000.0,282.4,96895.56363574804,104450.0,7554.43636425196
216000.0,282.3,97282.03396169192,104910.0,7627.966038308077
217000.0,282.3,97701.34241062553,105360.0,7658.657589374474
218000.0,282.2,98102.87597110849,105810.0,7707.124028891514
219000.0,282.1,98512.54656044352,106250.0,7737.453439556484
220000.0,282.1,98952.98979055375,106680.0,7727.010209446249
221000.0,282.0,99378.45884591543,107110.0,7731.541154084567
222000.0,281.7,99771.04406927433,107250.0,7478.955930725671
223000.0,280.4,99987.0256306288,106560.0,6572.9743693711935
224000.0,279.2,100265.3964064328,105970.0,5704.603593567197
225000.0,277.9,100571.66966690354,105900.0,5328.330333096455
226000.0,276.7,100936.29647770294,105870.0,4933.703522297059
227000.0,275.5,101343.11223270262,105820.0,4476.887767297376
228000.0,274.3,101792.09327101496,106120.0,4327.906728985035
229000.0,273.0,102277.19181118808,106470.0,4192.8081888119195
230000.0,271.8,102812.01325771605,106800.0,3987.986742283945
