Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,277.4,83512.35898387659,91690.0,8177.641016123409
181000.0,277.4,83782.8592171843,91990.0,8207.140782815695
182000.0,277.4,84057.14266538415,92280.0,8222.857334615852
183000.0,277.3,84294.56875505854,92580.0,8285.431244941457
184000.0,277.3,84577.13633701662,92880.0,8302.863662983378
185000.0,277.3,84863.685702629,93190.0,8326.314297371006
186000.0,277.2,85115.27614086082,93470.0,8354.72385913918
187000.0,277.2,85410.53198994233,93740.0,8329.468010057666
188000.0,277.2,85709.97824732732,94020.0,8310.021752672677
189000.0,277.1,85976.42139971144,94310.0,8333.578600288558
190000.0,277.1,86285.01745485439,94590.0,8304.982545145613
191000.0,277.0,86561.98336076603,94870.0,8308.016639233974
192000.0,277.0,86880.04041068918,95150.0,8269.95958931082
193000.0,276.9,87167.86743014597,95430.0,8262.132569854031
194000.0,276.9,87495.7066834502,95720.0,8224.293316549796
195000.0,276.8,87794.74374727813,96020.0,8225.256252721869
196000.0,276.8,88132.69664839243,96330.0,8197.303351607567
197000.0,276.7,88443.30349357524,96680.0,8236.696506424763
198000.0,276.7,88791.71194965893,97030.0,8238.28805034107
199000.0,276.6,89114.25935710104,97370.0,8255.740642898963
200000.0,276.6,89473.47596754158,97730.0,8256.524032458416
201000.0,276.5,89808.3460027801,98080.0,8271.653997219895
202000.0,276.5,90178.73429142896,98430.0,8251.265708571038
203000.0,276.4,90526.32054769057,98760.0,8233.679452309429
204000.0,276.3,90880.78816762076,99150.0,8269.211832379238
205000.0,276.3,91268.96304158041,99620.0,8351.036958419587
206000.0,276.2,91636.76580426068,100080.0,8443.234195739322
207000.0,276.1,92011.77580232538,100540.0,8528.224197674615
208000.0,276.0,92394.10697110303,100990.0,8595.893028896971
209000.0,275.9,92783.87488048934,101430.0,8646.12511951066
210000.0,275.9,93204.16934534178,101870.0,8665.830654658217
211000.0,275.8,93608.37472938903,102300.0,8691.625270610966
212000.0,275.7,94020.3668867139,102810.0,8789.633113286094
213000.0,275.6,94440.26804419312,103310.0,8869.731955806885
214000.0,275.6,94888.08067116533,103790.0,8901.919328834672
215000.0,275.5,95323.35700478675,104260.0,8936.642995213246
216000.0,275.4,95766.91254765351,104710.0,8943.087452346488
217000.0,275.3,96218.87644441005,105160.0,8941.123555589948
218000.0,275.3,96696.0539370625,105590.0,8893.946062937495
218303.0,275.2,96825.58205828475,105710.0,8884.417941715248
