Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,264.7,78941.17831624334,88830.0,9888.821683756658
181000.0,264.6,79248.33662219552,89140.0,9891.663377804478
182000.0,264.6,79589.6592134186,89440.0,9850.340786581393
183000.0,264.5,79907.25773269855,89730.0,9822.742267301452
184000.0,264.4,80230.5043634647,89970.0,9739.4956365353
185000.0,264.3,80559.48151218587,90230.0,9670.51848781413
186000.0,264.3,80920.53660231762,90640.0,9719.463397682382
187000.0,264.2,81260.59249389089,91120.0,9859.407506109113
188000.0,264.1,81606.62987485073,91590.0,9983.370125149275
189000.0,264.0,81958.73592852744,92050.0,10091.264071472557
190000.0,263.9,82316.9990478153,92500.0,10183.000952184695
191000.0,263.8,82681.50884474716,92950.0,10268.491155252836
192000.0,263.4,82985.39331680074,93020.0,10034.606683199265
193000.0,262.9,83279.18909299796,93050.0,9770.810907002044
194000.0,262.5,83606.36466994186,93040.0,9433.63533005814
195000.0,262.0,83925.55170611001,93170.0,9244.44829388999
196000.0,261.6,84276.39092479173,93240.0,8963.609075208267
197000.0,261.1,84621.30787915636,93330.0,8708.69212084364
198000.0,260.7,84996.15291735693,93520.0,8523.847082643071
199000.0,260.2,85367.09822405741,93870.0,8502.901775942591
200000.0,259.7,85751.63181255884,94210.0,8458.368187441156
201000.0,258.5,86056.0609062764,94270.0,8213.939093723602
202000.0,257.3,86390.35466983846,94390.0,7999.64533016154
202500.0,256.6,86557.36956466906,94590.0,8032.630435330939
