Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,308.0,101321.46589742515,99850.0,1471.4658974251506
181000.0,308.1,101523.45557717246,100110.0,1413.4555771724554
182000.0,308.1,101653.4254448979,100370.0,1283.4254448979045
183000.0,308.1,101785.7556232051,100620.0,1165.7556232050993
184000.0,308.1,101920.49153171081,100890.0,1030.4915317108098
185000.0,308.1,102057.67934071453,101160.0,897.6793407145306
186000.0,308.2,102269.26748052238,101430.0,839.2674805223796
187000.0,308.2,102411.0613577985,101700.0,711.0613577985059
188000.0,308.2,102555.44548985657,101970.0,585.4454898565746
189000.0,308.2,102702.46906838514,102250.0,452.4690683851368
190000.0,308.2,102852.18207633393,102530.0,322.1820763339347
191000.0,308.3,103074.40205439653,102810.0,264.40205439653073
192000.0,308.3,103229.18382099012,103090.0,139.18382099011797
193000.0,308.3,103386.80472753229,103380.0,6.804727532289689
194000.0,308.3,103547.31793745823,103660.0,112.68206254177494
195000.0,308.4,103778.77188572813,103950.0,171.22811427187116
196000.0,308.4,103944.74899227408,104240.0,295.2510077259212
197000.0,308.4,104113.77757397747,104530.0,416.2224260225339
198000.0,308.4,104285.9141039038,104820.0,534.0858960962069
199000.0,308.4,104461.2159216541,105110.0,648.784078345896
200000.0,308.4,104639.74124226731,105390.0,750.2587577326922
201000.0,308.4,104821.5491649579,105680.0,858.4508350420947
202000.0,308.5,105071.30880192551,105970.0,898.6911980744917
203000.0,308.5,105259.34068045061,106260.0,1000.6593195493915
204000.0,308.5,105450.83196813549,106550.0,1099.1680318645085
205000.0,308.5,105645.84530895643,106840.0,1194.1546910435718
206000.0,308.5,105844.44427488533,107140.0,1295.5557251146674
207000.0,308.5,106046.69337503194,107440.0,1393.306624968056
208000.0,308.5,106252.65806486894,107740.0,1487.3419351310586
209000.0,308.5,106462.40475536101,108050.0,1587.5952446389856
210000.0,308.5,106676.00082227329,108360.0,1683.9991777267132
211000.0,308.5,106893.51461545253,108670.0,1776.4853845474718
212000.0,308.5,107115.01546814524,108980.0,1864.9845318547596
213000.0,308.5,107340.57370644956,109290.0,1949.4262935504375
214000.0,308.5,107570.26065868438,109590.0,2019.7393413156242
215000.0,308.5,107804.1486648922,109900.0,2095.8513351078
216000.0,308.5,108042.31108636074,110210.0,2167.6889136392565
217000.0,308.5,108284.82231521329,110520.0,2235.177684786715
218000.0,308.5,108531.75778395864,110830.0,2298.2422160413553
219000.0,308.5,108783.19397520612,111140.0,2356.8060247938847
220000.0,308.5,109039.20843134899,111460.0,2420.7915686510096
221000.0,308.5,109299.87976428955,111780.0,2480.1202357104485
222000.0,308.5,109565.28766525172,112100.0,2534.712334748285
223000.0,308.5,109835.51291459374,112420.0,2584.487085406261
224000.0,308.5,110110.63739172716,112750.0,2639.362608272844
225000.0,308.5,110390.74408498981,113080.0,2689.255915010188
226000.0,308.5,110675.9171016434,113400.0,2724.0828983566025
227000.0,308.5,110966.24167788963,113740.0,2773.7583221103705
228000.0,308.5,111261.80418889565,114070.0,2808.1958111043496
229000.0,308.5,111562.69215894416,114410.0,2847.3078410558373
230000.0,308.5,111868.99427154202,114750.0,2881.0057284579816
