Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,258.4,77240.40700446829,87460.0,10219.592995531711
181000.0,258.3,77585.55438060749,87790.0,10204.445619392514
182000.0,258.2,77936.35762732668,88250.0,10313.64237267332
183000.0,258.1,78292.89306245152,88700.0,10407.10693754848
184000.0,257.8,78611.69917810726,88930.0,10318.300821892743
185000.0,257.1,78856.02350297006,88780.0,9923.976497029944
186000.0,256.5,79135.87427294796,88490.0,9354.125727052044
187000.0,255.8,79410.99392404906,88440.0,9029.006075950936
188000.0,255.2,79719.54570253225,88380.0,8660.454297467746
189000.0,254.6,80041.91591067491,88470.0,8428.084089325086
190000.0,253.9,80362.323447929,88750.0,8387.676552071003
191000.0,253.3,80713.06084491104,89010.0,8296.939155088956
192000.0,252.7,81077.39258143226,89360.0,8282.607418567743
193000.0,252.0,81442.13977871258,89730.0,8287.860221287425
194000.0,251.4,81834.12073521185,90080.0,8245.87926478815
195000.0,250.8,82239.26874864969,90590.0,8350.731251350313
