Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,283.5,86283.16334768616,93290.0,7006.836652313839
181000.0,283.5,86522.90451400439,93580.0,7057.095485995611
182000.0,283.5,86766.12926770972,93870.0,7103.870732290277
183000.0,283.5,87012.89747930507,94160.0,7147.102520694927
184000.0,283.4,87216.77606478259,94450.0,7233.223935217407
185000.0,283.4,87471.33136703708,94740.0,7268.668632962916
186000.0,283.4,87729.62095360037,95040.0,7310.3790463996265
187000.0,283.4,87991.70880641745,95340.0,7348.291193582554
188000.0,283.4,88257.65994769918,95630.0,7372.340052300817
189000.0,283.3,88483.78797992466,95930.0,7446.212020075342
190000.0,283.3,88758.20849873751,96230.0,7471.791501262487
191000.0,283.3,89036.69926389083,96530.0,7493.300736109173
192000.0,283.3,89319.32964227522,96840.0,7520.670357724783
193000.0,283.3,89606.17009888728,97140.0,7533.829901112724
194000.0,283.2,89856.42068108474,97450.0,7593.579318915261
195000.0,283.2,90152.46932639487,97750.0,7597.530673605128
196000.0,283.2,90452.95204890337,98050.0,7597.047951096625
197000.0,283.1,90718.91474756841,98350.0,7631.085252431585
198000.0,283.1,91029.08231014782,98650.0,7620.917689852184
199000.0,283.1,91343.91871341474,98950.0,7606.081286585264
200000.0,283.0,91626.37182550707,99260.0,7633.628174492929
201000.0,283.0,91951.39228382772,99570.0,7618.607716172279
202000.0,282.9,92245.53082327043,99880.0,7634.4691767295735
203000.0,282.9,92581.08540376813,100190.0,7608.914596231873
204000.0,282.9,92921.72715352545,100510.0,7588.272846474545
205000.0,282.8,93233.74096539401,100830.0,7596.259034605988
206000.0,282.8,93585.4554704212,101180.0,7594.544529578794
207000.0,282.8,93942.52243261367,101530.0,7587.477567386333
208000.0,282.7,94273.2890267395,101890.0,7616.710973260502
209000.0,282.7,94641.99194470723,102250.0,7608.008055292768
210000.0,282.6,94986.02773938589,102610.0,7623.972260614115
211000.0,282.6,95366.76092401719,102980.0,7613.239075982812
212000.0,282.6,95753.31816901214,103340.0,7586.681830987858
213000.0,282.5,96117.66482265214,103670.0,7552.335177347864
214000.0,282.4,96489.53979096719,104120.0,7630.460209032812
215000.0,282.3,96869.06454480608,104580.0,7710.935455193918
216000.0,282.3,97282.03396169192,105030.0,7747.966038308077
217000.0,282.2,97676.39428233632,105480.0,7803.605717663682
218000.0,282.1,98078.7713017924,105930.0,7851.228698207604
219000.0,282.1,98512.54656044352,106360.0,7847.453439556484
220000.0,282.0,98930.48443374649,106800.0,7869.515566253511
221000.0,281.9,99356.82168920017,107230.0,7873.178310799834
222000.0,281.5,99730.08404760543,107160.0,7429.915952394571
223000.0,280.2,99950.50616465736,106510.0,6559.4938353426405
224000.0,278.9,100217.07413208703,106000.0,5782.925867912971
225000.0,277.6,100529.91458491045,105920.0,5390.085415089547
226000.0,276.3,100889.0750380832,105850.0,4960.924961916797
227000.0,275.0,101294.51299102012,105880.0,4585.487008979879
228000.0,273.7,101746.08386195995,106210.0,4463.916138040047
229000.0,272.5,102248.9048880698,106540.0,4291.095111930204
230000.0,271.2,102789.83865632855,106940.0,4150.161343671454
