Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,258.2,77192.14241579568,87830.0,10637.857584204321
181000.0,258.1,77538.46660619401,88290.0,10751.533393805992
182000.0,258.0,77890.44988395122,88740.0,10849.550116048777
183000.0,257.9,78248.16837640572,89170.0,10921.831623594277
184000.0,257.2,78483.05489396516,88990.0,10506.945106034836
185000.0,256.4,78713.73659958581,88640.0,9926.263400414187
186000.0,255.7,78981.40041394104,88520.0,9538.599586058961
187000.0,254.9,79246.8955702614,88310.0,9063.104429738596
188000.0,254.2,79547.0085933584,88510.0,8962.991406641595
189000.0,253.5,79862.66464407586,88740.0,8877.335355924137
190000.0,252.7,80178.79256997812,88950.0,8771.207430021881
191000.0,252.0,80525.99868128014,89230.0,8704.001318719864
192000.0,251.2,80875.1259396366,89570.0,8694.874060363407
193000.0,250.5,81252.91490271245,90040.0,8787.085097287549
193182.0,250.4,81326.53839446066,90130.0,8803.461605539342
