Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,283.8,86429.3126267678,93030.0,6600.687373232198
181000.0,283.8,86667.56629963637,93310.0,6642.433700363632
182000.0,283.8,86909.28870676845,93600.0,6690.71129323155
183000.0,283.8,87154.53953499372,93890.0,6735.460465006283
184000.0,283.8,87403.37946310073,94180.0,6776.620536899267
185000.0,283.7,87609.57811830264,94480.0,6870.421881697359
186000.0,283.7,87866.30323077264,94770.0,6903.696769227361
187000.0,283.7,88126.81080917222,95070.0,6943.189190827776
188000.0,283.7,88391.16567663537,95370.0,6978.83432336463
189000.0,283.6,88615.36327965693,95670.0,7054.636720343071
190000.0,283.6,88888.15408108672,95970.0,7081.845918913285
191000.0,283.6,89164.99851561022,96280.0,7115.001484389781
192000.0,283.6,89445.96573811321,96580.0,7134.034261886787
193000.0,283.6,89731.12599825834,96880.0,7148.874001741657
194000.0,283.5,89979.35715250291,97190.0,7210.642847497089
195000.0,283.5,90273.69004705279,97480.0,7206.309952947209
196000.0,283.4,90532.50237652821,97760.0,7227.497623471791
197000.0,283.4,90836.32636747205,98040.0,7203.673632527949
198000.0,283.4,91144.72358423365,98330.0,7185.276415766348
199000.0,283.3,91419.71180271426,98620.0,7200.288197285743
200000.0,283.3,91738.09050539474,98910.0,7171.909494605265
201000.0,283.2,92024.54431880302,99220.0,7195.4556811969815
202000.0,283.2,92353.24847596443,99520.0,7166.7515240355715
203000.0,283.1,92651.54347343263,99830.0,7178.456526567374
204000.0,283.1,92990.92771332852,100140.0,7149.072286671479
205000.0,283.1,93335.47077763508,100460.0,7124.529222364916
206000.0,283.0,93651.88073314463,100800.0,7148.11926685537
207000.0,283.0,94007.64943948943,101150.0,7142.350560510575
208000.0,282.9,94336.88283251578,101500.0,7163.117167484219
209000.0,282.9,94704.25930470448,101860.0,7155.740695295521
210000.0,282.8,95046.73257910121,102220.0,7173.267420898788
211000.0,282.8,95426.11041898275,102580.0,7153.889581017254
212000.0,282.7,95782.25230579716,102940.0,7157.747694202844
213000.0,282.7,96174.03683440185,103270.0,7095.96316559815
214000.0,282.6,96544.28861119715,103690.0,7145.711388802854
215000.0,282.5,96922.17446064224,104160.0,7237.8255393577565
216000.0,282.5,97333.71286582437,104630.0,7296.287134175625
217000.0,282.4,97726.40256150092,105080.0,7353.597438499084
218000.0,282.3,98127.09274364759,105540.0,7412.90725635241
219000.0,282.2,98535.91176200438,105980.0,7444.0882379956165
220000.0,282.2,98975.60748918598,106420.0,7444.392510814025
221000.0,282.1,99400.20839268669,106850.0,7449.791607313309
222000.0,282.0,99833.32575050325,107350.0,7516.6742494967475
223000.0,280.9,100080.26173183596,106610.0,6529.738268164045
224000.0,279.8,100364.98344214425,106030.0,5665.01655785575
225000.0,278.6,100672.83766238937,105810.0,5137.162337610629
226000.0,277.5,101035.7545600098,105860.0,4824.245439990205
227000.0,276.4,101437.00202427147,105860.0,4422.997975728533
228000.0,275.3,101876.66729190893,105910.0,4033.3327080910676
229000.0,274.2,102354.77919672952,106310.0,3955.2208032704802
230000.0,273.0,102866.18322687122,106690.0,3823.816773128783
