Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,301.6,96783.6495920698,98350.0,1566.350407930193
181000.0,301.7,97006.00296579368,98620.0,1613.997034206317
182000.0,301.7,97163.38149600048,98890.0,1726.618503999518
183000.0,301.7,97323.41201055523,99170.0,1846.5879894447717
184000.0,301.7,97486.14381462854,99450.0,1963.8561853714637
185000.0,301.7,97651.6270283911,99730.0,2078.3729716089
186000.0,301.8,97884.91562953898,100020.0,2135.084370461016
187000.0,301.8,98055.59167012636,100300.0,2244.408329873637
188000.0,301.8,98229.1694703184,100590.0,2360.830529681596
189000.0,301.8,98405.70243247676,100870.0,2464.2975675232447
190000.0,301.9,98648.4722649473,101160.0,2511.527735052703
191000.0,301.9,98830.5955733685,101440.0,2609.404426631503
192000.0,301.9,99015.83417988906,101720.0,2704.1658201109385
193000.0,301.9,99204.2449063463,102000.0,2795.755093653701
194000.0,301.9,99395.88546939786,102280.0,2884.1145306021353
195000.0,301.9,99590.81448987471,102570.0,2979.1855101252877
196000.0,301.9,99789.0915020947,102860.0,3070.9084979053005
197000.0,301.9,99990.77696341569,103150.0,3159.2230365843134
198000.0,301.9,100195.93226362858,103450.0,3254.0677363714203
199000.0,301.9,100404.61973456065,103750.0,3345.380265439351
200000.0,301.9,100616.90265965203,104050.0,3433.097340347973
201000.0,301.9,100832.84528355939,104350.0,3517.1547164406074
202000.0,301.9,101052.51282187014,104660.0,3607.487178129857
203000.0,302.0,101332.59469247898,104960.0,3627.405307521025
204000.0,302.0,101559.35413384454,105260.0,3700.6458661554643
205000.0,302.0,101790.03377928276,105560.0,3769.966220717237
206000.0,301.9,101969.77095964165,105860.0,3890.2290403583465
207000.0,301.9,102209.07597017614,106170.0,3960.9240298238583
208000.0,301.9,102452.51812650655,106470.0,4017.4818734934524
209000.0,301.9,102700.16971594517,106780.0,4079.8302840548276
210000.0,301.9,102952.1040759522,107090.0,4137.8959240478
211000.0,301.9,103208.39560424886,107410.0,4201.604395751143
212000.0,301.9,103469.11976901171,107720.0,4250.8802309882885
213000.0,301.9,103734.35311908199,108040.0,4305.646880918008
214000.0,301.9,104004.17329421412,108360.0,4355.826705785876
215000.0,301.9,104278.65903543112,108680.0,4401.340964568881
216000.0,301.9,104557.8901953192,109000.0,4442.109804680804
217000.0,301.9,104841.94774856261,109330.0,4488.052251437388
218000.0,301.9,105130.91380222593,109660.0,4529.0861977740715
219000.0,301.9,105424.8716064847,109990.0,4565.128393515304
220000.0,301.9,105723.90556495418,110320.0,4596.094435045816
221000.0,301.9,106028.10124551169,110660.0,4631.898754488313
222000.0,301.9,106337.54539077538,111000.0,4662.454609224616
223000.0,301.9,106652.32592892298,111340.0,4687.674071077025
224000.0,301.9,106972.53198439142,111670.0,4697.4680156085815
225000.0,301.8,107255.61616798631,112000.0,4744.383832013686
226000.0,301.8,107587.66391547992,112330.0,4742.3360845200805
227000.0,301.8,107925.42036079409,112660.0,4734.579639205913
228000.0,301.8,108268.97964055352,112990.0,4721.020359446484
229000.0,301.8,108618.43714365976,113330.0,4711.562856340242
230000.0,301.8,108973.88952245328,113660.0,4686.110477546725
