Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,296.1,93229.19432410478,96240.0,3010.8056758952152
181000.0,296.2,93470.23166386898,96520.0,3049.768336131019
182000.0,296.2,93652.34831942362,96790.0,3137.651680576382
183000.0,296.2,93837.37865275121,97060.0,3222.621347248787
184000.0,296.2,94025.37543294489,97330.0,3304.6245670551143
185000.0,296.2,94216.39230128546,97610.0,3393.607698714535
186000.0,296.2,94410.48378082538,97880.0,3469.5162191746203
187000.0,296.2,94607.70528591801,98160.0,3552.294714081989
188000.0,296.2,94808.11313198322,98440.0,3631.8868680167798
189000.0,296.2,95011.76454516075,98730.0,3718.235454839247
190000.0,296.2,95218.71767206634,99010.0,3791.282327933659
191000.0,296.2,95429.03158964193,99300.0,3870.9684103580657
192000.0,296.2,95642.7663150281,99590.0,3947.2336849718995
193000.0,296.2,95859.98281545086,99890.0,4030.0171845491423
194000.0,296.2,96080.74301824093,100180.0,4099.25698175907
195000.0,296.2,96305.10982083352,100470.0,4164.890179166483
196000.0,296.2,96533.14710083525,100750.0,4216.852899164747
197000.0,296.1,96711.56791407146,101040.0,4328.432085928536
198000.0,296.1,96947.68728071307,101330.0,4382.312719286929
199000.0,296.1,97187.68073386392,101630.0,4442.319266136081
200000.0,296.1,97431.61625574659,101930.0,4498.383744253413
201000.0,296.1,97679.56286120185,102230.0,4550.437138798152
202000.0,296.1,97931.59060805869,102540.0,4608.4093919413135
203000.0,296.1,98187.77060764407,102840.0,4652.229392355934
204000.0,296.1,98448.1750352652,103150.0,4701.824964734798
205000.0,296.0,98664.17692803619,103460.0,4795.823071963809
206000.0,296.0,98933.8473148953,103770.0,4836.152685104695
207000.0,296.0,99207.97183390088,104080.0,4872.028166099117
208000.0,296.0,99486.62711476913,104400.0,4913.37288523087
209000.0,296.0,99769.89090584805,104710.0,4940.109094151951
210000.0,296.0,100057.84208496007,105030.0,4972.157915039934
211000.0,296.0,100350.56067035375,105350.0,4999.439329646251
212000.0,296.0,100648.12783152089,105680.0,5031.872168479109
213000.0,295.9,100907.00673802114,106000.0,5092.99326197886
214000.0,295.9,101215.17211076114,106320.0,5104.827889238863
215000.0,295.9,101528.44405528193,106630.0,5101.555944718071
216000.0,295.9,101846.90856032528,106950.0,5103.091439674725
217000.0,295.8,102129.81061504365,107260.0,5130.189384956349
218000.0,295.8,102459.60691277293,107580.0,5120.393087227072
219000.0,295.8,102794.86892780247,107900.0,5105.1310721975315
220000.0,295.7,103097.04236396693,108230.0,5132.957636033068
221000.0,295.7,103444.21841984919,108550.0,5105.781580150811
222000.0,295.7,103797.14519961135,108880.0,5082.8548003886535
223000.0,295.6,104119.54512626657,109210.0,5090.454873733426
224000.0,295.6,104484.99326473346,109540.0,5055.0067352665355
225000.0,295.6,104856.48933499811,109870.0,5013.510665001886
226000.0,295.5,105200.11165390586,110240.0,5039.888346094143
227000.0,295.5,105584.76222154102,110610.0,5025.237778458977
228000.0,295.5,105975.77048763086,110980.0,5004.229512369144
229000.0,295.5,106373.2395363032,111360.0,4986.760463696803
230000.0,295.4,106746.47562271741,111730.0,4983.5243772825925
