Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,277.6,83597.17032604554,91540.0,7942.82967395446
181000.0,277.6,83866.6480436628,91830.0,7963.351956337196
182000.0,277.6,84139.89927959806,92130.0,7990.100720401941
183000.0,277.6,84416.98738163957,92430.0,8013.01261836043
184000.0,277.5,84657.59422271869,92730.0,8072.40577728131
185000.0,277.5,84943.08121568941,93040.0,8096.91878431059
186000.0,277.4,85193.39369281856,93320.0,8126.606307181442
187000.0,277.4,85487.56638070449,93600.0,8112.433619295509
188000.0,277.3,85747.89714085647,93870.0,8122.1028591435315
189000.0,277.3,86051.05178147947,94160.0,8108.948218520527
190000.0,277.2,86321.72346025487,94450.0,8128.276539745129
191000.0,277.2,86634.16598285045,94730.0,8095.834017149551
192000.0,277.1,86915.51143289394,95010.0,8094.488567106062
193000.0,277.1,87237.55765831549,95300.0,8062.442341684509
194000.0,277.0,87529.92018076254,95580.0,8050.079819237464
195000.0,277.0,87861.89604429522,95860.0,7998.103955704777
196000.0,276.9,88165.6296227336,96130.0,7964.370377266401
197000.0,276.9,88507.8713996041,96440.0,7932.128600395896
198000.0,276.8,88823.34093671835,96790.0,7966.6590632816515
199000.0,276.8,89176.19547022332,97130.0,7953.80452977668
200000.0,276.7,89503.77702718308,97480.0,7976.222972816919
201000.0,276.7,89867.60195951484,97830.0,7962.398040485161
202000.0,276.6,90207.6829977612,98180.0,7972.317002238793
203000.0,276.5,90554.53155861463,98510.0,7955.468441385368
204000.0,276.5,90935.82662934366,98880.0,7944.173370656339
205000.0,276.4,91295.78411583617,99360.0,8064.21588416383
206000.0,276.3,91662.83013264122,99830.0,8167.169867358782
207000.0,276.2,92037.07695285729,100290.0,8252.923047142714
208000.0,276.1,92418.63846850285,100750.0,8331.361531497154
209000.0,276.1,92831.48965956802,101200.0,8368.510340431982
210000.0,276.0,93227.24593933405,101640.0,8412.754060665946
211000.0,275.9,93630.66184329634,102070.0,8439.338156703656
212000.0,275.8,94041.85785715027,102580.0,8538.142142849727
213000.0,275.7,94460.95616615117,103080.0,8619.043833848831
214000.0,275.7,94908.06264782799,103570.0,8661.937352172012
215000.0,275.6,95342.52237901713,104050.0,8707.47762098287
216000.0,275.5,95785.25447095803,104520.0,8734.745529041975
217000.0,275.4,96236.38802840498,104960.0,8723.611971595019
218000.0,275.4,96712.83085907715,105400.0,8687.169140922852
219000.0,275.1,97148.55479662742,105580.0,8431.445203372583
219384.0,275.0,97321.55109424912,105600.0,8278.448905750876
