Mass,CAS,Drag_BADA,Drag_PRN,RMSE
180000.0,258.1,77168.13769888818,87930.0,10761.862301111818
181000.0,258.0,77515.04941709341,88390.0,10874.95058290659
182000.0,257.9,77867.62177610213,88840.0,10972.378223897875
183000.0,257.8,78225.93080611441,89230.0,11004.069193885589
184000.0,257.0,78440.82581495526,88960.0,10519.174185044743
185000.0,256.2,78673.79787246093,88660.0,9986.202127539073
186000.0,255.5,78943.55470533393,88490.0,9546.445294666075
187000.0,254.7,79211.25093710059,88330.0,9118.749062899413
188000.0,253.9,79496.65216697015,88570.0,9073.347833029853
189000.0,253.2,79815.23160219149,88780.0,8964.768397808512
190000.0,252.4,80134.39137792354,88960.0,8825.608622076456
191000.0,251.7,80484.33009226754,89260.0,8775.66990773246
192000.0,250.9,80836.25439746366,89670.0,8833.745602536335
192727.0,250.3,81100.13620666391,90010.0,8909.863793336088
